t=1864: [[0.126966, 0.166966], [0.550669, 0.590669]]
t=1875: [[0.125450, 0.165450], [0.545229, 0.585229]]
t=1878: [[0.125256, 0.165256], [0.546111, 0.586111]]
t=1887: [[0.125390, 0.165390], [0.544440, 0.584440]]
t=1891: [[0.126210, 0.166210], [0.543749, 0.583749]]
t=1894: [[0.127197, 0.167197], [0.541434, 0.581434]]
t=1897: [[0.126586, 0.166586], [0.540935, 0.580935]]
t=1904: [[0.128008, 0.168008], [0.538923, 0.578923]]
t=1909: [[0.128272, 0.168272], [0.539541, 0.579541]]
t=1910: [[0.127510, 0.167510], [0.539286, 0.579286]]
t=1915: [[0.127100, 0.167100], [0.537547, 0.577547]]
t=1931: [[0.128470, 0.168470], [0.533198, 0.573198]]
t=1932: [[0.128977, 0.168977], [0.532883, 0.572883]]
t=1934: [[0.127913, 0.167913], [0.532171, 0.572171]]
t=1944: [[0.131661, 0.171661], [0.532309, 0.572309]]
t=1945: [[0.131505, 0.171505], [0.532082, 0.572082]]
t=1949: [[0.130754, 0.170754], [0.532106, 0.572106]]
t=1976: [[0.134494, 0.174494], [0.535496, 0.575496]]
